ZNF30	6,117,85

ZNF300	249,126,100

ZNF302	59,221,88

ZNF304	195,198,98

ZNF311	79,168,233

ZNF316	249,106,130

ZNF317	83,145,140

ZNF318	196,28,56

ZNF320	5,179,128

ZNF322	54,97,241

ZNF324	90,161,59

ZNF324B	240,19,213

ZNF329	186,139,57

ZNF331	54,94,4

ZNF333	166,54,106

ZNF334	93,70,178

ZNF335	112,168,112

ZNF337	87,73,10

ZNF33A	204,215,205

ZNF33B	33,221,121

ZNF34	37,213,191

ZNF341	128,196,105

ZNF343	9,150,74

ZNF35	132,123,37

ZNF350	237,196,215

ZNF354A	138,8,74

ZNF354B	2,117,27

ZNF354C	174,41,134

ZNF362	216,168,103

ZNF366	129,54,12

ZNF37A	127,187,71

ZNF382	58,69,44

ZNF383	6,69,221

ZNF384	196,56,224

ZNF391	91,220,80

ZNF394	11,196,19

ZNF395	210,133,219

ZNF398	169,199,59

ZNF404	225,253,105

ZNF407	183,37,115

ZNF41	186,247,232

ZNF410	3,175,68

ZNF416	249,167,187

ZNF417	65,183,14

ZNF418	8,135,235

ZNF419	39,6,94

ZNF423	218,117,57

ZNF425	35,233,76

ZNF426	3,93,19

ZNF429	156,70,48

ZNF430	131,22,163

ZNF431	168,93,222

ZNF432	57,219,23

ZNF433	9,28,242

ZNF436	173,65,192

ZNF439	41,136,140

ZNF44	52,107,213

ZNF440	52,122,45

ZNF441	132,206,216

ZNF442	166,126,76

ZNF443	110,76,197

ZNF444	181,16,13

ZNF445	207,103,178

ZNF449	185,126,64

ZNF45	62,70,144

ZNF454	147,10,37

ZNF45A	186,128,214

ZNF460	95,165,210

ZNF467	117,58,64

ZNF468	217,32,253

ZNF473	119,53,250

ZNF479	167,112,171

ZNF48	86,146,78

ZNF480	237,166,180

ZNF483	189,69,50

ZNF484	90,96,190

ZNF485	225,204,26

ZNF486	183,253,47

ZNF487	179,202,110

ZNF488	16,214,168

ZNF490	108,82,253

ZNF491	70,243,7

ZNF492	24,117,84

ZNF493	7,204,241

ZNF496	142,106,130

ZNF501	56,5,181

ZNF502	25,209,211

ZNF506	139,168,155

ZNF507	15,195,73

ZNF510	185,213,95

ZNF511	198,34,153

ZNF512	241,191,191

ZNF512B	120,36,181

ZNF513	222,232,116

ZNF514	92,156,126

ZNF516	69,94,219

ZNF518A	30,223,42

ZNF519	196,78,219

ZNF521	12,49,54

ZNF524	89,7,53

ZNF525	16,123,82

ZNF527	134,1,47

ZNF528	180,131,93

ZNF529	4,131,207

ZNF530	62,139,82

ZNF532	9,83,9

ZNF534	34,138,61

ZNF540	123,194,84

ZNF543	231,242,24

ZNF544	199,39,40

ZNF547	120,31,241

ZNF548	204,236,234

ZNF549	147,4,176

ZNF550	159,70,250

ZNF552	185,254,50

ZNF554	21,85,173

ZNF555	140,236,172

ZNF557	143,92,119

ZNF558	47,46,93

ZNF560	215,174,173

ZNF561	18,220,76

ZNF562	101,218,48

ZNF563	14,248,102

ZNF564	190,42,172

ZNF565	57,225,125

